# Time-averaged data for fix out
# TimeStep Number-of-rows
# Row c_myrdfs[1] c_myrdfs[2] c_myrdfs[3] c_myrdfs[4] c_myrdfs[5] c_myrdfs[6] c_myrdfs[7]
100000 250
69 3.288 0.818478 4.38595 0.840984 7.55498 1.55458 7.51644
70 3.336 0.819093 4.56949 0.882149 7.95071 1.50931 8.19417
71 3.384 0.816295 4.75771 0.905904 8.36887 1.46886 8.87286
72 3.432 0.828595 4.95422 0.943942 8.81704 1.41784 9.54669
73 3.48 0.839643 5.15896 0.987086 9.2989 1.35966 10.2111
74 3.528 0.83737 5.36882 1.01984 9.81057 1.30396 10.8659
75 3.576 0.849277 5.58749 1.05663 10.3552 1.25272 11.5123
76 3.624 0.868143 5.81706 1.07369 10.9236 1.18912 12.1424
77 3.672 0.886649 6.05777 1.10829 11.526 1.14023 12.7628
78 3.72 0.904338 6.30975 1.13662 12.16 1.09465 13.374
79 3.768 0.922165 6.57337 1.14374 12.8146 1.06206 13.9824
80 3.816 0.939125 6.84872 1.16879 13.5006 1.03146 14.5884
81 3.864 0.95232 7.13501 1.16868 14.204 1.00635 15.1947
82 3.912 0.972111 7.43456 1.16663 14.9237 0.997731 15.8107
83 3.96 0.994174 7.74846 1.15748 15.6553 0.983713 16.4332
84 4.008 1.01636 8.0772 1.15766 16.4049 0.979246 17.0679
85 4.056 1.01241 8.41255 1.13677 17.1588 0.97696 17.7163
86 4.104 1.03871 8.7648 1.11839 17.918 0.972137 18.377
87 4.152 1.05729 9.1318 1.09767 18.6808 0.977326 19.0568
88 4.2 1.07018 9.5119 1.07668 19.4464 0.976611 19.7519
89 4.248 1.07079 9.90096 1.06137 20.2184 0.974373 20.4613
90 4.296 1.08452 10.304 1.05751 21.0051 0.968432 21.1825
91 4.344 1.10908 10.7254 1.03678 21.7937 0.968329 21.9198
92 4.392 1.10827 11.1558 1.03304 22.597 0.962051 22.6685
93 4.44 1.09575 11.5907 1.03184 23.4169 0.961203 23.4331
94 4.488 1.10336 12.0382 1.02921 24.2525 0.95901 24.2125
95 4.536 1.10826 12.4973 1.03139 25.1079 0.957077 25.007
96 4.584 1.10459 12.9647 1.02294 25.9744 0.960721 25.8215
97 4.632 1.1015 13.4405 1.02173 26.858 0.955879 26.649
98 4.68 1.09877 13.9251 1.01551 27.7546 0.958922 27.4965
99 4.728 1.08065 14.4115 1.01641 28.6704 0.958448 28.3609
100 4.776 1.0853 14.9099 1.01215 29.601 0.962163 29.2465
101 4.824 1.07095 15.4117 1.00518 30.5439 0.968336 30.1557
102 4.872 1.06262 15.9196 1.00365 31.5042 0.968357 31.0831
103 4.92 1.03961 16.4263 0.996728 32.4767 0.972265 32.0327
104 4.968 1.03332 16.9398 0.989386 33.461 0.979816 33.0084
105 5.016 1.01703 17.455 0.983894 34.4589 0.989808 34.0132
106 5.064 1.01312 17.9781 0.978166 35.47 0.990953 35.0386
107 5.112 1.00641 18.5077 0.971101 36.4929 0.995487 36.0882
108 5.16 0.985589 19.036 0.96963 37.5336 1.00329 37.166
109 5.208 0.979784 19.5711 0.960319 38.5835 1.0054 38.2663
110 5.256 0.968946 20.1101 0.967385 39.6607 1.01052 39.3927
111 5.304 0.956729 20.652 0.957993 40.7471 1.01206 40.5415
112 5.352 0.938855 21.1935 0.95796 41.8531 1.01623 41.716
113 5.4 0.928027 21.7383 0.957949 42.9791 1.01363 42.9085
114 5.448 0.922836 22.2898 0.958192 44.1255 1.01767 44.1273
115 5.496 0.915094 22.8464 0.959628 45.2939 1.0154 45.3648
116 5.544 0.91213 23.4109 0.967382 46.4924 1.01515 46.6237
117 5.592 0.900489 23.9778 0.971392 47.7168 1.02032 47.9111
118 5.64 0.902426 24.5558 0.970187 48.9608 1.01613 49.2152
119 5.688 0.901371 25.143 0.974479 50.2317 1.00915 50.5326
120 5.736 0.910544 25.7462 0.978488 51.5293 1.00128 51.8618
121 5.784 0.915366 26.3628 0.984499 52.857 0.997351 53.208
122 5.832 0.921313 26.9937 0.986656 54.2097 0.993473 54.5714
123 5.88 0.928572 27.6401 0.988958 55.5879 0.987087 55.9484
124 5.928 0.933194 28.3004 0.996039 56.9988 0.981374 57.3399
125 5.976 0.943995 28.9792 0.998668 58.4364 0.980198 58.7523
126 6.024 0.948043 29.6719 1.00074 59.9002 0.977513 60.1835
127 6.072 0.967948 30.3905 1.00146 61.3885 0.974732 61.6335
128 6.12 0.969883 31.1219 1.00354 62.9036 0.970065 63.0995
129 6.168 0.98082 31.8732 1.00668 64.4474 0.969171 64.5872
130 6.216 0.984761 32.6393 1.00811 66.0175 0.967636 66.0958
131 6.264 0.991234 33.4224 1.00562 67.608 0.972031 67.6346
132 6.312 1.00133 34.2257 1.00842 69.2275 0.970126 69.1941
